Source,,,Capital IQ Pro,,,,,,,,,,,Economic Policy Uncertainty Index,Economic Policy Uncertainty Index,,,Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),faculty.chicagobooth.edu/-/media/faculty/lubos-pastor/data/liq_data_1962_2022.txt,https://data.bls.gov/pdq/SurveyOutputServlet,https://data.bls.gov/pdq/SurveyOutputServlet,https://fred.stlouisfed.org/series/CPIAUCSL#0,https://fred.stlouisfed.org/series/CPIAUCSL#0,https://www.federalreserve.gov/datadownload/Download.aspx?rel=H10&series=d896a0d00241604bbbfab3d292c873c8&filetype=csv&label=include&layout=seriescolumn&from=12/01/2009&to=12/31/2021,
date,Year,Month,S&P 500 Energy (Sector) Price Return-Index Value (monthly),S&P 500 Materials (Sector) Price Return-Index Value (monthly),S&P 500 Industrials (Sector) Price Return-Index Value (monthly),S&P 500 Consumer Discretionary (Sector) Price Return-Index Value (monthly),S&P 500 Consumer Staples (Sector) Price Return-Index Value (monthly),S&P 500 Health Care (Sector) Price Return-Index Value (monthly),S&P 500 Financials Price Return-Index Value (monthly),S&P 500 Information Technology (Sector) Price Return-Index Value (monthly),S&P 500 Communication Services (Sector) Price Return-Index Value (monthly),S&P 500 Utilities (Sector) Price Return-Index Value (monthly),S&P 500 Real Estate Price Return-Index Value (monthly),cpu_index,old_cpu_index,Three_Component_Index,News_Based_Policy_Uncert_Index,Mkt-RF,SMB,HML,RF,Mom,Innov Liq (eq8),CPI (not seasonnally adjusted),%CPI (not seasonnally adjusted),Seasonnally adjusted CPI,%Seasonnally adjusted CPI,Nominal Broad Dollar Index,%Nominal Broad Dollar Index
sept.-18,2018,9,"549,7026934","371,8079122","658,6005727","928,5722256","558,6206","1079,975976","468,8460293","1306,531387","157,525562","270,3517973","205,0245117","79,47310311","47,82",103,121,"0,06","-2,28","-1,69","0,15","0,04","0,05528119","252,439","0,001162025176","252,182","0,002062281702","114,0818","0,00217333249"
oct.-18,2018,10,"535,1025953","339,8095903","623,9132559","866,4642356","554,5903727","1060,084498","443,7415328","1245,830522","153,1832858","272,5058889","196,4688227","103,7215692","111,89",112,136,"-7,68","-4,77","3,44","0,19","-1,99","-0,03104259","252,885","0,001766763456","252,772","0,002339580144","114,8337","0,006590884786"
nov.-18,2018,11,"492,4547198","339,7840726","598,560168","842,8151247","572,2667208","1056,782201","442,3461315","1183,993569","147,8115038","275,89776","204,1623136","156,1780515","176,67",130,165,"1,69","-0,68","0,28","0,18","-1,37","0,04187696","252,038","-0,003349348518","252,594","-0,00070419192","116,1714","0,01164901941"
déc.-18,2018,12,"446,6528238","319,0343038","555,9361613","796,6275085","542,0511765","1018,550938","401,6556224","1114,328792","141,7035414","277,4460473","200,5264286","154,8508354","103,59",166,227,"-9,57","-2,37","-1,85","0,2","2,11","-0,03946946","251,233","-0,003193962815","252,767","0,0006848935446","116,2147","0,0003727251286"
janv.-19,2019,1,"456,9083977","327,3607707","572,9169664","828,5419234","531,0640586","1017,802664","416,7346852","1119,799424","146,7742011","269,4234182","200,2296246","211,221614","185,25",201,284,"8,4","2,89","-0,46","0,21","-8,68","-0,02999068","251,712","0,001906596665","252,718","-0,0001938544193","114,4439","-0,01523731507"
févr.-19,2019,2,"479,0423973","340,6592888","628,2142894","861,1660158","555,8775064","1056,817165","434,7756249","1212,909661","153,1402415","282,6816258","214,7612516","263,6796844","185,08",107,124,"3,4","2,05","-2,67","0,18","0,86","0,15359483","252,776","0,00422705314","253,322","0,002390015749","114,4141","-0,0002603895883"
mars-19,2019,3,"486,3179381","344,9622494","626,4788107","879,9174355","565,9636601","1055,69202","433,2933604","1268,182125","157,5592215","292,9476308","219,6359776","165,9910569","187,66",140,181,"1,1","-3,03","-4,1","0,19","2,21","-0,00495067","254,202","0,005641358357","254,202","0,003473839619","114,7858","0,003248725463"
avr.-19,2019,4,"496,9667586","359,5499886","650,1036992","937,2725424","580,8025425","1036,278837","448,8564196","1352,920862","165,0141512","293,0974834","223,1643633","94,5296649","83,42",99,110,"3,97","-1,74","2,14","0,21","-2,97","0,05555742","255,548","0,005295001613","255,211","0,00396928427","114,9059","0,001046296667"
mai-19,2019,5,"463,8336894","341,0102156","632,191767","917,3262017","586,3855381","1025,490343","448,4666726","1317,423676","163,5092782","295,2289142","223,9806752","116,1994316","140,1",123,161,"-6,94","-1,31","-2,35","0,21","7,56","-0,021579","256,092","0,002128758589","255,29","0,0003095477859","115,9605","0,009177944736"
juin-19,2019,6,"455,2783629","359,2399619","637,4463783","927,1941834","597,9427383","1057,541789","449,6973345","1340,200557","160,9079413","303,5880706","230,9073402","173,196342","137,02",150,208,"6,93","0,27","-0,72","0,18","-2,3","-0,06524375","256,143","0,0001991471815","255,159","-0,000513141917","115,4313","-0,004563622958"
juil.-19,2019,7,"466,9120751","367,3655601","654,9748867","972,1809132","614,4276215","1071,450333","467,6924537","1420,425218","168,7228679","306,3751676","231,7066795","131,1424573","95,56",150,208,"1,19","-1,93","0,47","0,19","2,89","0,07379657","256,571","0,001670941622","255,685","0,002061459717","115,082","-0,00302604233"
août-19,2019,8,"426,33502","353,6963498","627,4551187","927,5082931","612,7108549","1044,253271","442,7090033","1374,339341","164,8604835","309,6258407","237,7190449","188,6663965","140,97",190,283,"-2,58","-2,37","-4,77","0,16","6,92","0,02107933","256,558","-0,00005066823608","256,059","0,001462737353","117,1052","0,01758050781"
sept.-19,2019,9,"443,772052","361,967917","654,5797046","955,1367075","624,0384366","1050,269625","463,2731926","1414,514852","169,728327","321,8287652","243,1088188","346,612379","629,02",134,187,"1,43","-0,97","6,74","0,18","-6,81","-0,0254588","256,759","0,0007834485769","256,511","0,001765218172","117,3288","0,001909394288"
oct.-19,2019,10,"426,69752","358,2518547","648,1242601","946,1142915","624,4596466","1053,944865","463,7486293","1426,581581","168,8351326","324,8240513","243,962043","199,8493538","164,76",118,160,"2,06","0,29","-1,92","0,16","0,15","0,00164745","257,346","0,002286190552","257,244","0,002857577258","116,7511","-0,004923769782"
nov.-19,2019,11,"439,7681246","375,2202289","687,5031463","952,9006757","628,2708128","1116,57067","493,2202842","1518,05134","176,0819281","317,444206","237,0602394","170,0483914","157,05",132,170,"3,87","0,79",-2,"0,12","-2,66","0,0401783","257,208","-0,0005362430347","257,803","0,002173034162","116,5637","-0,001605124063"
déc.-19,2019,12,"444,4828286","378,3311946","683,4807727","966,9297273","642,430424","1170,465518","505,4161225","1566,342925","180,0691875","322,2997918","236,0813697","242,8845589","264,05",143,191,"2,77","0,73","1,77","0,14","-1,77","0,02275035","256,974","-0,0009097695251","258,616","0,00315357075","115,9139","-0,005574634299"
janv.-20,2020,1,"442,1488135","375,3356107","701,0218629","994,5307501","649,4242857","1195,545267","508,603737","1676,451514","187,1549724","336,4635259","243,2860433","209,3470847","268,8",131,165,"-0,11","-3,11","-6,23","0,13","5,98","-0,01540172","257,971","0,003879769938","259,037","0,001627896186","115,2819","-0,005452322802"
févr.-20,2020,2,"395,9654531","370,6364081","691,0886202","1010,68648","650,5326504","1180,34823","500,585529","1721,111641","186,1563456","347,681254","250,4173927","205,0062418","215,66",161,216,"-8,13","1,07","-3,79","0,12","-0,4","0,0267251","258,678","0,002740618131","259,248","0,0008145554496","116,7138","0,01242085705"
mars-20,2020,3,"246,864474","292,6003158","523,0178358","815,031219","575,3014485","1025,902997","368,2965009","1426,480919","154,1525258","291,3739783","204,2323592","276,603415","316,62",283,426,"-13,39","-4,86","-13,95","0,13","7,97","-0,16294422","258,115","-0,002176451032","258,124","-0,004335616861","121,0245","0,03693393583"
avr.-20,2020,4,"255,0674316","306,7612643","517,3534737","876,6188732","596,2373593","1117,072535","361,5616027","1510,665436","159,4638675","292,6454355","204,5912883","245,285638","390,78",269,401,"13,65","2,47","-1,26",0,"-5,23","-0,02274615","256,389","-0,006686941867","256,092","-0,007872185461","123,2835","0,01866564208"
mai-20,2020,5,"285,6712124","328,9680428","531,8358737","956,7962353","591,0989813","1162,012451","365,592641","1657,349874","174,4373975","285,4650163","202,553171","221,9758722","177,38",350,504,"5,58","2,47","-4,89","0,01","0,43","-0,069281","256,394","0,00001950161668","255,868","-0,0008746856598","122,6187","-0,005392449111"
juin-20,2020,6,"303,7105163","355,3458294","590,1142925","1039,339356","605,1041341","1167,525178","401,2490893","1785,537562","182,7050516","297,9963171","220,4085824","138,3028987","174,99",231,300,"2,46","2,7","-2,17","0,01","-0,73","0,0216865","257,797","0,005472046928","256,986","0,004369440493","119,6809","-0,0239588252"
juil.-20,2020,7,"279,0708772","376,1602252","596,5394876","1116,907658","626,1994812","1212,707238","394,7750935","1884,873778","189,4604046","299,8339189","218,7480791","133,1777329","224,2",306,428,"5,77","-2,32","-1,37","0,01","7,61","0,07211224","259,101","0,005058243502","258,278","0,005027511226","118,6956","-0,008232725523"
août-20,2020,8,"278,1570644","391,9764309","644,8760546","1200,873463","657,6075953","1243,67531","411,0541806","2045,823105","199,7748603","304,1494523","223,3661639","202,7847937","204,27",224,263,"7,63","-0,22","-2,96","0,01","0,55","-0,01576458","259,918","0,003153210524","259,411","0,004386746064","116,9526","-0,01468462184"
sept.-20,2020,9,"244,9162934","404,0232574","654,3541027","1203,890765","658,9094876","1220,980475","405,6424648","2033,585259","198,4272792","298,5912255","221,0305458","184,3543472","217,45",218,253,"-3,63","0,04","-2,68","0,01","3,12","-0,11690786","260,280","0,001392746943","260,029","0,002382319948","116,3489","-0,005161920299"
oct.-20,2020,10,"226,1180533","407,6685942","669,7920587","1238,526503","666,9772295","1236,778378","409,9401239","2075,27626","198,888614","320,9309939","222,032642","272,16406","340,73",249,306,"-2,1","4,37","4,22","0,01","-3,05","0,02902189","260,388","0,0004149377593","260,286","0,0009883512993","115,7839","-0,004856083727"
nov.-20,2020,11,"258,0840526","434,795091","719,3330973","1245,63925","679,6018503","1274,196229","445,5178209","2110,651799","211,1149119","327,5406388","226,7779103","234,7634116","354,7",247,328,"12,47","5,81","2,13","0,01","-12,43","0,06773488","260,229","-0,0006106272178","260,813","0,002024695911","114,0998","-0,01454520015"
déc.-20,2020,12,"292,9066591","447,9889807","745,5808105","1280,608446","690,523366","1302,63618","476,8586575","2235,538571","220,2404719","314,9874548","225,7620543","299,8446191","378,94",246,327,"4,63","4,89","-1,5","0,01","-2,32","0,01400043","260,474","0,000941478467","262,035","0,004685349273","111,9016","-0,0192655903"
janv.-21,2021,1,"314,5753051","469,8890709","747,2025185","1337,628689","678,4798825","1358,988207","504,5795448","2292,841066","220,1304203","317,3385052","225,1251371","180,8233972","261,52",208,261,"-0,03","7,34","2,97","0,01","4,5","0,05563753","261,582","0,004253783487","262,65","0,002347014712","111,4914","-0,003665720597"
févr.-21,2021,2,"337,8652273","464,1657","758,8304398","1355,593626","669,7318229","1342,856052","524,8012072","2371,617495","234,475769","314,1993862","236,8378114","207,0713994","257,23",152,188,"2,78","2,06","7,17",0,"-7,89","-0,04967182","263,014","0,005474382794","263,638","0,003761660004","112,0248","0,00478422551"
mars-21,2021,3,"380,6253416","485,4560147","807,4911746","1313,763627","676,9860182","1333,87319","563,5900671","2297,818147","238,3922825","313,0626624","239,5442087","145,2818833","181,23",140,167,"3,08","-2,37","7,39",0,"-6,14","-0,01127711","264,877","0,007083273134","264,914","0,004839969959","113,349","0,01182059687"
avr.-21,2021,4,"366,7683704","512,1859738","851,5107651","1414,645958","710,4982173","1399,979151","585,5383181","2476,891309","251,0397338","334,9865083","258,5658299","103,877858","121,45",125,141,"4,93","-3,2","-0,95",0,"1,16","-0,02646881","267,054","0,008218909154","266,67","0,006628566252","112,6409","-0,00624707761"
mai-21,2021,5,"393,6130458","545,3532028","876,1564187","1376,420667","724,798171","1436,419825","621,0020388","2394,813886","253,2293284","332,8361304","264,0103532","167,901495","126,32",147,172,"0,29","-0,25","7,09",0,"0,88","-0,00990124","269,195","0,008017105155","268,444","0,006652416845","111,2263","-0,01255849341"
juin-21,2021,6,"411,3365886","529,4795506","869,3579249","1393,545317","721,2190355","1444,665456","616,1681773","2501,254628","260,9568785","328,4199986","280,0504004","176,7582079","145,76",134,149,"2,75","1,7","-7,83",0,"2,2","0,00300422","271,696","0,009290662902","270,559","0,00787873821","111,5885","0,003256424065"
juil.-21,2021,7,"382,9556768","515,6370585","869,4677298","1460,167919","729,429865","1507,97084","605,3975233","2662,972211","270,1408583","331,5006999","286,8624484","244,3479261","113,71",153,182,"1,27","-3,99","-1,78",0,"-2,25","0,04006143","273,003","0,004810523526","271,764","0,004453742067","113,069","0,0132674962"
août-21,2021,8,"365,1229481","531,8521746","878,0950379","1439,465169","744,1925792","1564,843417","631,1572079","2726,826274","277,5296906","345,9597731","291,6751068","95,08021794","143,07",134,157,"2,91","-0,43","-0,15",0,"2,51","0,0321433","273,567","0,002065911364","272,87","0,00406970754","113,4092","0,003008782248"
sept.-21,2021,9,"372,6077334","516,8818554","855,2402543","1461,766973","739,1104996","1544,418452","627,3208466","2735,159709","279,9828689","339,3758766","292,6459388","326,1647915","197,78",142,171,"-4,37","0,72","5,09",0,"1,49","-0,00648152","274,310","0,002715970859","274,028","0,004243779089","113,4482","0,0003438874448"
oct.-21,2021,10,"431,0018268","522,4165087","863,9722986","1497,40904","731,390902","1500,334539","654,7544824","2726,418777","271,5631793","334,1574596","289,2732721","259,7489046","190,33",122,137,"6,65","-2,34","-0,49",0,"3,19","-0,00803977","276,589","0,008308118552","276,522","0,009101259725","114,074","0,005516173901"
nov.-21,2021,11,"432,3710548","552,0532177","892,2463492","1633,888295","753,2801065","1550,596099","660,7302675","2935,262686","273,9013165","339,7688987","301,3699681","411,2888056","383,52",151,176,"-1,55","-1,32","-0,45",0,"0,9","0,03095946","277,948","0,004913427504","278,711","0,0079161875","115,0016","0,008131563722"
déc.-21,2021,12,"420,0116269","550,7983049","876,5545166","1591,777585","775,2442959","1587,539375","644,1537895","3006,65935","265,4559365","351,9590802","310,7345209","266,2633128","195,49",166,201,"3,1","-1,65","3,26","0,01","-2,6","0,0707606","278,802","0,003072517161","280,887","0,007807370359","115,8134","0,007059032222"
