Model Number,Policy Beta,pvalue,r-squared
0.0,0.013861146256367534,0.25370875372988555,0.011935074431267734
1.0,0.019457072975682305,0.08945546081183363,0.14738865929133238
2.0,0.019617993489205794,0.024245209656896638,0.5399593795869418
3.0,0.023813398479594475,0.005874816282422774,0.5739642841623456
4.0,0.025287122450876727,0.0029334940890872164,0.6043304315693481
