,Cap_Sector,Cap_Policy_Beta,Cap_pvalue,Debt_Sector,Debt_Policy_Beta,Debt_pvalue,Eintensity_Sector,Eintensity_Policy_Beta,Eintensity_pvalue,Elevel_Sector,Elevel_Policy_Beta,Elevel_pvalue,Escore_Sector,Escore_Policy_Beta,Escore_pvalue,Pillarscore_Sector,Pillarscore_Policy_Beta,Pillarscore_pvalue
0,Energy_top,0.017923904073668402,0.2527030321615297,Energy_top,0.012325742239261,0.6254405954022262,Energy_top,0.01285224859185543,0.5715065138650527,Energy_top,0.020954956772503162,0.19209465363297915,Energy_top,0.022219826404196782,0.22868518714311323,Energy_top,0.025881256128968712,0.15062175335928393
1,Energy_bottom,0.01827972552801126,0.31431812701092304,Energy_bottom,0.012816791367405067,0.5376631873264472,Energy_bottom,0.011827057831281648,0.5552755063580934,Energy_bottom,0.018631578547232592,0.3468848758991172,Energy_bottom,0.013748895912571887,0.4731182394504777,Energy_bottom,0.017679472819536027,0.3451647961651708
2,Materials_top,0.028373489969247895,0.022572619790582917,Materials_top,0.02212096084445141,0.23941029496642463,Materials_top,0.016941573229743368,0.2609833241417011,Materials_top,0.037509518201078756,0.026084876754590022,Materials_top,0.030086090571961443,0.029811657546822766,Materials_top,0.021920592997127685,0.07479446127437524
3,Materials_bottom,0.026937343554254697,0.0317415162119201,Materials_bottom,0.02949418334876275,0.030143821799293265,Materials_bottom,0.025091431022497154,0.0744048566064853,Materials_bottom,0.027117970933856855,0.042996891817408546,Materials_bottom,0.026784444020860467,0.03268135161416336,Materials_bottom,0.030316716632344802,0.015066822210550978
4,Industrials_top,0.033937600247312155,0.0039044380664720276,Industrials_top,0.03470155848909858,0.01727538432306974,Industrials_top,0.044160061657844515,0.007644271693212347,Industrials_top,0.046983938281492735,0.002432553357720325,Industrials_top,0.04093183776318188,0.0027693396210409487,Industrials_top,0.036906204919740206,0.004487288711192352
5,Industrials_bottom,0.03723366663249035,0.0016809482924623723,Industrials_bottom,0.035335035073952144,0.004794847263823099,Industrials_bottom,0.04168638170557139,0.0034558924391969964,Industrials_bottom,0.038635459568383615,0.003942919734498673,Industrials_bottom,0.03671753260347322,0.002462626171445043,Industrials_bottom,0.036650667232469604,0.0028515249831243534
6,Consumer_Discretionary_top,0.021884144730581367,0.08011342952174398,Consumer_Discretionary_top,0.031718397560563875,0.07916135853799709,Consumer_Discretionary_top,0.05237998400567729,0.005798761327664229,Consumer_Discretionary_top,0.036684638977639315,0.038006776893000624,Consumer_Discretionary_top,0.02835673166565581,0.027748553370780794,Consumer_Discretionary_top,0.032257756369428126,0.013491486596722519
7,Consumer_Discretionary_bottom,0.03227665278498592,0.010474154863390841,Consumer_Discretionary_bottom,0.034051594942558744,0.008212588477086955,Consumer_Discretionary_bottom,0.0346686456026505,0.021847667390310816,Consumer_Discretionary_bottom,0.03446321189656525,0.020091561217453893,Consumer_Discretionary_bottom,0.02934429496708874,0.017206662009933295,Consumer_Discretionary_bottom,0.02842843773884616,0.02127952989837708
8,Consumer_Staples_top,0.02198990798915682,0.018524338538837705,Consumer_Staples_top,0.019387467628237932,0.07929501919092799,Consumer_Staples_top,0.011115864848252588,0.2734593983407317,Consumer_Staples_top,0.014806296023277512,0.11009505881926272,Consumer_Staples_top,0.02243945556025283,0.015738371370075617,Consumer_Staples_top,0.021978207039933962,0.02117118191011456
9,Consumer_Staples_bottom,0.01969664372925011,0.02030015389282851,Consumer_Staples_bottom,0.01715848901535706,0.05005618892968573,Consumer_Staples_bottom,0.018252823907447244,0.04705774361173224,Consumer_Staples_bottom,0.017647400366732915,0.051853405954234925,Consumer_Staples_bottom,0.0213567967607934,0.009871267657361276,Consumer_Staples_bottom,0.01888705307721889,0.02478094632544247
10,Health_Care_top,0.033470577648216614,0.001545192743053358,Health_Care_top,0.034372499231241894,0.011071703766675996,Health_Care_top,0.030181813304487225,0.008097622962554995,Health_Care_top,0.029629715436995933,0.010123378816585017,Health_Care_top,0.036447191156169206,0.0008523301467772937,Health_Care_top,0.03449677042091106,0.0013079557333055423
11,Health_Care_bottom,0.036674404969664065,0.0014846524394815505,Health_Care_bottom,0.03625144463830092,0.0029407206803128655,Health_Care_bottom,0.0345670873519583,0.0011001051557158414,Health_Care_bottom,0.03358777259218633,0.002322770409822933,Health_Care_bottom,0.03555368764082908,0.0013168722639783012,Health_Care_bottom,0.036108549168509745,0.0008377085923568237
12,Financials_top,0.027389353659416114,0.03980022108057522,Financials_top,0.022560097798367432,0.16420256474391356,Financials_top,0.023104194691579556,0.1780414302841701,Financials_top,0.020375952004075423,0.24150535302233322,Financials_top,0.026487978571600377,0.07068681069502297,Financials_top,0.022754779538295265,0.11265773935422387
13,Financials_bottom,0.024653937781535712,0.041153883885174145,Financials_bottom,0.0205822259409078,0.11081812287653488,Financials_bottom,0.02367256940648607,0.10176800932800936,Financials_bottom,0.024863580214433547,0.08435644926308096,Financials_bottom,0.023837865390172137,0.05385617253481958,Financials_bottom,0.024403731198576122,0.04607339579158648
14,Information_Technology_top,0.03550839830629429,0.0063162088769595235,Information_Technology_top,0.04336404041347494,0.025657378553387483,Information_Technology_top,0.040860581362548345,0.028631475575725672,Information_Technology_top,0.03185262275982819,0.06927232320093539,Information_Technology_top,0.038442569027428604,0.0071128977552862484,Information_Technology_top,0.03981545918853883,0.003116223604475532
15,Information_Technology_bottom,0.04393580817686631,0.0019409340754842268,Information_Technology_bottom,0.040373293059263946,0.007083208256228968,Information_Technology_bottom,0.040101228739354115,0.008745127193966811,Information_Technology_bottom,0.039262826069075066,0.005865436631021043,Information_Technology_bottom,0.040971615889823274,0.004626030471477433,Information_Technology_bottom,0.040106310677111866,0.005934875057806931
16,Communication_Services_top,0.019723263094892893,0.10562210007956802,Communication_Services_top,0.039152871337114266,0.07523731260562705,Communication_Services_top,-0.001987500915433484,0.9023891332056512,Communication_Services_top,-0.001987500915433484,0.9023891332056512,Communication_Services_top,0.020041528172444496,0.10050691064545147,Communication_Services_top,0.016887269088562744,0.19431716246220918
17,Communication_Services_bottom,0.01331212294328233,0.3046498409451502,Communication_Services_bottom,0.018170768528229398,0.18173829311397807,Communication_Services_bottom,0.01329581857681344,0.2742614131166987,Communication_Services_bottom,0.013295818576813438,0.2742614131166987,Communication_Services_bottom,0.01006024825837816,0.4018921280740556,Communication_Services_bottom,0.018998869218418115,0.13386546244270642
18,Utilities_top,0.004434352783429864,0.7171566012273016,Utilities_top,0.0005157125954834163,0.9699987071024642,Utilities_top,0.004767925774798877,0.7246793415350077,Utilities_top,-0.001211779106804394,0.9272242794028674,Utilities_top,0.004061893728615315,0.771237790857912,Utilities_top,0.0014072972329685577,0.9211552059360693
19,Utilities_bottom,0.006674187234994721,0.5888256682398352,Utilities_bottom,0.005529961539485973,0.6520720058771579,Utilities_bottom,0.0031201443855014455,0.8014011654449988,Utilities_bottom,0.0034397063199254,0.7818365215873746,Utilities_bottom,0.004256598998020861,0.7353153094407134,Utilities_bottom,0.004454596105324754,0.725028664453155
