,company_return,Cap,Debt,Eintensity,Elevel,Escore,Pillarscore
count,45399.0,45399.0,41904.0,22170.0,22115.0,42014.0,41016.0
mean,1.174384481008392,36885706434.75125,41.99161213958095,578.9132029872832,8305435.077689337,48.39968128577774,47.660135300302
std,5.947885308265988,66952284001.25031,70.82397402884165,1528.3851049507525,21014074.82359868,33.4297640828239,27.96128749916281
min,-44.2783232,240908207.4,0.0,-0.5494208,-0.5494208,0.0,0.0
25%,-2.11159445,8073542759.0,12.1936475,18.28392735,210288.0,14.55223881,23.58682984
50%,1.3129929,15399067173.0,23.033893,49.93559817,943885.0,52.85714286,51.739143865
75%,4.5187989,34180928207.0,47.3890405,261.9818154,5030000.0,78.01724138,71.23188406
max,59.4768851,1070000000000.0,1277.870322,11444.50554,159600000.0,99.73958333,98.54580592
